Created by Online2PDF.com,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY DATA 2013 | CPCB ENVIS,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY OF RIVER GANGA - 2013,,,,,,,,,,,,,,,,,,,,,,,,,,
STATION CODE,LOCATIONS,STATE,TEMPERATURE ÂºC,,,D.O. (mg/l),,,pH,,,"CONDUCTIVITY
(Âµmhos/cm)",,,B.O.D. (mg/l),,,NITRATE- N+ NITRITE-N (mg/l),,,FECAL COLIFORM (MPN/100ml),,,TOTAL COLIFORM (MPN/100ml),,
,,,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean
WATER QUALITY CRITERIA,,,,,,> 4 mg/l,,,6.5-8.5,,,,,,< 3 mg/l,,,,,,< 2500 MPN/100ml,,,< 5000 MPN/100ml,,
1491,"BHAGIRATHI AT GANGOTRI, UTTAR PRADESH",UTTARAKHAND,3.3,7,5.2,8.3,8.8,8.6,8.4,8.5,8.5,126,126,126,,,,0,0,0,220,220,220,220,220,220
1484,"ALKANANDA B/C MANDAKINI AT RUDRA PRAYAG, UTTAR PRADESH",UTTARAKHAND,11.3,19,15.4,7.4,10.6,8.7,7.4,8.4,8.1,124,124,124,0.2,1,0.7,0,0,0,790,790,790,1700,1700,1700
1486,"ALKANANDA A/C MANDAKINI AT RUDRAPRAYAG, UTTAR PRADESH",UTTARAKHAND,11.3,19,16,7.6,10,8.6,7.5,8.7,8.1,183,183,183,0.8,2,1.4,0,0,0,78,78,78,230,230,230
1488,"BHAGIRATHI B/C WITH ALAKNANDA AT DEVPRAYAG, U.P",UTTARAKHAND,14,20,17.1,7.4,11.2,9,7.8,8.6,8.2,170,170,170,0.4,1.8,1.2,0,0,0,40,40,40,140,140,140
1489,"ALKANANDA A/C WITH BHAGIRATHI AT DEVPRAYAG, UTTAR PRADESH",UTTARAKHAND,13.2,20,16.8,7.6,10,8.6,7.9,8.5,8.3,151,151,151,1.2,2,1.6,0,0,0,45,45,45,330,330,330
1060,"GANGA AT RISHIKESH U/S, U.P",UTTARAKHAND,10.6,21,16.8,7.4,9.2,8.6,7.3,8.2,7.9,,,,0.8,2.4,1.5,0,0,0,,,,14,110,32
2725,GANGA RIVER AFTER CONFLUENCE OF RIVER SONG NEAR SATYANARAYAN TEMPLE D/S RAIWALA,UTTARAKHAND,13,24,20,5.4,8,6.7,7.4,8.2,7.9,,,,2,13,5.5,0,0,0,,,,300,1600,1283
1061,"GANGA AT HARIDWAR D/S, U.P",UTTARAKHAND,19,19,19,5.6,7.8,6.5,7.5,8.3,7.8,,,,2.2,7.8,5.2,0,0,0,,,,500,1600,1245
2727,UPPER GANGA RIVER D/S ROORKEE,UTTARAKHAND,15,15,15,7.2,8.8,7.9,7.8,8.3,8.1,,,,1.2,3,2.5,0,0,0,,,,110,500,235
1062,"GANGA AT GARHMUKTESHWAR, U.P",UTTAR PRADESH,15,27,21.9,7,11.2,9,6.8,7.8,7.4,190,480,273,2.2,5.2,2.9,0.4,1.23,1,550,1400,767,920,2400,1402
2488,"GANGA U/S, ANOOPSHAHAR",UTTAR PRADESH,,,,,,,7,7.5,7.4,171,330,241,1.1,3.6,2.6,0,0,0,,,,,,
2489,"GANGA D/S, ANOOPSHAHAR",UTTAR PRADESH,,,,,,,7,7.5,7.4,170,320,243,1.2,3.4,2.5,0,0,0,,,,,,
1145,"GANGA AT NARORA (BULANDSAHAR), U.P.",UTTAR PRADESH,,,,,,,7,7.5,7.4,174,310,243,1.2,3.4,2.4,0,0,0,,,,,,
2490,"GANGA AT KACHHLA GHAT, ALIGARH",UTTAR PRADESH,,,,,,,7.4,7.5,7.5,150,340,257,1.8,3.2,2.4,0,0,0,,,,,,
1063,"GANGA AT KANNAUJ U/S (RAJGHAT), U.P",UTTAR PRADESH,12,33,25.8,6.5,9.9,8.2,7.4,9.3,8,21,180,45,3,5.4,4,0.18,3.6,3,700,2100,1210,2000,6400,4075
1066,"GANGA AT KANNAUJ D/S, U.P",UTTAR PRADESH,12,33,25.3,6.4,9.6,7.9,7.6,9.2,8.1,18,183,44,2,5.8,4.2,0.16,2.56,2,900,2300,1569,2300,6400,4638
1146,"GANGA AT BITHOOR (KANPUR), U.P.",UTTAR PRADESH,12,33,25.6,6.4,10.6,8.5,7.4,8.7,8.1,19,195,41,2.3,3.8,3.2,0.14,2.2,2,700,2100,1300,2300,4300,3792
1067,"GANGA AT KANPUR U/S (RANIGHAT), U.P",UTTAR PRADESH,12,33,25.6,6.1,10.8,8.3,7.5,8.7,8.1,20,120,37,2.5,4.1,3.4,0.16,2.3,2,700,2500,1438,2300,44500,6992
1068,"GANGA AT KANPUR D/S (JAJMAU PUMPING STATION), U.P",UTTAR PRADESH,12,33,25.6,5.4,8.9,6.8,7.3,8.7,8.1,26,270,59,4,15.6,6.7,0.24,5.44,3,8400,28000,13292,40000,210000,70462
1147,"GANGA AT DALMAU (RAI BAREILLY), U.P.",UTTAR PRADESH,14,23,19.1,6.8,10.5,8.3,7.7,7.8,7.8,152,281,212,3.2,3.8,3.6,0.8,1.22,1,4300,4900,4645,7000,7900,7591
2498,"GANGA AT KALA KANKAR, RAEBARELI",UTTAR PRADESH,14,24,19.1,6.9,10.5,8.4,7.7,7.8,7.8,150,278,208,3,3.7,3.4,0.76,1.02,1,4100,4800,4400,6900,7800,7355
1046,"GANGA AT ALLAHABAD (RASOOLABAD), U.P.",UTTAR PRADESH,19.8,30.5,24.7,6.9,10.8,8.5,8,8.3,8.2,338,385,367,2.5,4.8,3.6,2.44,2.56,2,3000,17000,5033,10000,33000,21417
2487,"GANGA AT KADAGHAT, ALLAHABAD",UTTAR PRADESH,19.4,30.2,24.3,6.8,10.2,8.4,7.8,8.3,8.2,358,398,374,2.8,4.4,3.4,2.4,2.66,2,3000,140000,16100,9000,32000,22417
1049,"GANGA AT ALLAHABAD D/S (SANGAM), U.P.",UTTAR PRADESH,19.6,30.8,24.7,6.6,9.7,8.2,8.1,8.4,8.3,368,501,429,2.8,4.6,3.6,2.78,3.3,3,3100,21000,6475,17000,38000,24333
2485,"GANGA U/S, VINDHYACHAL, MIRZAPUR",UTTAR PRADESH,14,32,26.2,5.5,11.6,8.8,7.4,8.2,7.9,237,582,362,2.2,3.1,2.6,1.24,2.56,2,490,2100,1441,1700,4600,3542
2486,"GANGA D/S, MIRZAPUR",UTTAR PRADESH,14,34,27.2,5.1,10.8,8.4,7.4,8.9,7.9,238,582,365,2.4,3.6,3.1,1.46,2.22,2,1100,4600,2808,2200,7000,4600
1070,"GANGA AT VARANASI U/S (ASSIGHAT), U.P",UTTAR PRADESH,21,24.5,23.2,6.9,8.8,8.4,7.6,8.4,8.2,268,370,291,2.9,3.2,3,0,0,0,5000,8000,5500,7000,13000,8833
1071,"GANGA AT VARANASI D/S (MALVIYA BRIDGE), U.P",UTTAR PRADESH,21,24.5,23.2,6.4,8.3,7.9,7.7,8.7,8.5,306,392,327,3.3,5.1,4.6,0.15,1.98,1.64,31000,46000,34500,43000,70000,49500
1073,"GANGA AT TRIGHAT (GHAZIPUR), U.P",UTTAR PRADESH,22,24.5,23.6,6.8,8.4,7.9,7.6,8.6,8.4,285,390,336,2.7,4.1,3.7,0,0,0,13000,23000,15167,17000,46000,22500
1074,"GANGA AT BUXAR,BIHAR",BIHAR,17,17,17,8.6,8.6,8.6,8.4,8.4,8.4,282,542,387,2.7,2.7,2.7,0,0,0,1300,3000,1913,3000,9000,5250
2551,"GANGA AT BUXAR, RAMREKHAGHAT",BIHAR,17,35,26.5,7.6,8.2,7.9,7.6,8.4,8,281,553,391,2.6,2.9,2.7,0,0,0,2400,9000,4925,9000,24000,13143
1077,"GANGA AT KHURJI, PATNA U/S, BIHAR",BIHAR,9,32,24.9,7.5,8.8,8,7.8,8.4,8.1,265,437,341,2.4,2.7,2.6,0,0,0,1100,5000,2356,2400,9000,5378
2556,"GANGA AT INDRAPURI, DEHRI ON SONE",BIHAR,10,30,23.2,7.3,9,8,7.4,8.2,7.8,12,256,161,2,2.4,2.2,0,0,0,500,900,650,1300,2400,1733
2564,"GANGA  AT THE CONFLUENCE OF SONE RIVER DORIGANJ, CHAPRA",BIHAR,14,34,25.7,7.4,9.3,8.3,7.8,8.3,8.1,243,386,304,2.1,2.7,2.5,0,0,0,1300,2400,1729,3000,5000,3929
2552,GANGA DARBHANGA GHAT AT PATNA,BIHAR,9,32,25.1,7.2,8.6,7.8,7.8,8.1,7.9,284,490,350,2.5,2.9,2.7,0,0,0,2400,9000,7378,9000,24000,19571
1079,"GANGA AT PATNA D/S (GANGA BRIDGE), BIHAR",BIHAR,10,33,25.2,7,8.7,7.9,7.6,8.2,7.8,275,530,357,2.6,3,2.8,0,0,0,3000,9000,5222,9000,24000,14143
2555,"GANGA AT PUNPUN, PATNA",BIHAR,8.4,33,25.7,7,8.7,7.7,7.3,8.4,7.9,285,756,444,2.5,8.7,4,0,0,0,700,2400,1713,1700,5000,3463
2553,GANGA AT FATUHA,BIHAR,8,33,25.3,7.5,8.7,8.1,7.6,8.2,7.8,267,429,351,2.4,2.7,2.5,0,0,0,1100,3000,2300,2800,9000,6700
1817,GANGA AT MOKAMA (U/S),BIHAR,11,28,24.1,6.1,8.8,7.9,7.8,8.2,8,279,310,288,2.4,2.6,2.5,0,0,0,1100,1700,1410,2200,5000,3280
1815,GANGA AT MOKAMA (D/S),BIHAR,11,28,24.5,5.9,8.6,7.8,7.6,8.1,7.9,310,346,330,2.4,2.9,2.8,0,0,0,3000,9000,5000,9000,16000,14250
1818,GANGA AT MUNGER,BIHAR,21,30,26.1,5.8,8.5,7.6,7.6,8,7.9,260,336,286,2.4,2.7,2.5,0,0,0,1100,3000,1645,2400,5000,3455
2554,"GANGA AT SULTANGANJ, BHAGALPUR",BIHAR,22,30,26.1,5.9,8.5,7.8,7.6,8,7.8,256,332,287,2.4,2.7,2.6,0,0,0,800,3000,1418,2400,5000,3200
1819,GANGA AT BHAGALPUR,BIHAR,17,28,25.2,5.9,8.5,7.6,7.7,8,7.8,279,383,303,2.4,2.8,2.7,0,0,0,2200,3000,2673,5000,9000,6818
1816,GANGA AT KAHALGAON,BIHAR,19,28,25.3,6,8.6,7.8,7.8,8.1,8,232,332,263,2.5,2.9,2.7,0,0,0,2200,5000,3055,5000,9000,7909
3113,GANGA AT D/S BUXAR NEAR GANGA BRIDGE,BIHAR,17,34,26.3,7.4,8.4,8,7.5,8.4,8,283,553,383,2.5,2.8,2.6,0,0,0,1100,5000,2750,3000,16000,9500
3114,GANGA RIVER NEAR DANAPUR (NEAR PIPAPUL),BIHAR,9,32,24.8,7.3,8.3,8,7.5,8.3,8,268,460,336,2.4,2.7,2.6,0,0,0,1100,3000,1889,2400,16000,6378
3115,GANGA RIVER AT BARH,BIHAR,18,30,25.2,5.9,8.8,7.9,7.6,8.1,8,262,330,285,2.2,2.5,2.4,0,0,0,700,1400,1309,1700,3500,2927
3116,GANGA AT U/S MUNGER (NEAR INTAKE WELL ON GANGA),BIHAR,21,30,26.5,6.1,8.6,7.8,7.8,8.1,8,258,320,275,2.2,2.6,2.4,0,0,0,700,1700,1191,1700,5000,2718
3117,GANGA AT U/S SULTANGANJ,BIHAR,22,29,26,6,8.6,7.8,7.6,8.1,7.9,268,328,287,2.4,2.6,2.5,0,0,0,900,2200,1245,2200,3000,2555
3118,GANGA AT U/S BHAGALPUR,BIHAR,17,28,25.1,6,8.5,7.7,7.8,8,7.9,265,362,298,2.4,2.8,2.6,0,0,0,800,1700,1355,2400,5000,3164
3122,"GANGA AT MALSALAMI, PATNA",BIHAR,10,33,25.3,7.5,8.8,8,7.7,8.2,7.9,289,438,354,2.4,2.7,2.6,0,0,0,900,3000,1722,2400,9000,4822
3123,GANGA RIVER AT BARAHIA,BIHAR,26,29,27.2,6,8.5,7.5,7.6,8.1,8,276,318,287,2,2.6,2.4,0,0,0,800,1300,1083,2200,3000,2700
1080,GANGA AT BAHARAMPORE WEST BENGAL,WEST BENGAL,20,32,26.5,6,11,7.4,7.4,7.8,7.6,230,358,295,4.5,6.9,5.6,0.77,1.26,1,1,90000,15071,400,160000,28547
2511,"NABADIP ON GANGA,GHOSHPARA NEAR MONIPURGHAT",WEST BENGAL,16,32,27.7,5.5,10.6,7.1,7.2,8,7.5,212,339,296,1.6,5.9,3.4,0.78,1.55,1,700,50000,14344,1100,90000,26306
2506,"TRIBENI ON GANGA, NEAR BURNING GHAT",WEST BENGAL,18,32,27.1,4.9,9.3,6.6,7.6,8.3,8,213,357,284,1,4.3,2,0.427,2.56,2,200,130000,31038,400,170000,42482
1054,"GANGA AT PALTA, WEST BENGAL",WEST BENGAL,18,52,29.3,5.4,9.8,7.1,6.9,7.9,7.5,219,359,288,2.3,5.1,3.5,0.41,1.02,1,1,500000,146000,26000,900000,248588
1472,"GANGA AT SERAMPORE, WEST BENGAL",WEST BENGAL,17,32,26.8,3.9,9,5.8,7.1,8.2,7.7,233,413,309,1.8,6,3.8,0.387,5.66,4,8000,500000,253188,11000,900000,381824
1053,"GANGA AT DAKSHMINESWAR, WEST BENGAL",WEST BENGAL,16,32,26.7,4,8.5,5.9,7.6,8.1,7.8,208,398,292,1.1,6.6,3.9,0.11,1.02,1,70000,1100000,425313,85000,4500000,1075588
1471,"GANGA AT HOWRAH-SHIVPUR, WEST BENGAL",WEST BENGAL,19,30,25.9,4.4,7.4,6,7.2,8.1,7.7,234,425,304,0.8,5.8,3.5,0.3,1.55,1,1,700000,237059,110000,4500000,855882
1470,"GANGA AT GARDEN REACH, WEST BENGAL",WEST BENGAL,20,30,25.6,4.5,8.5,6.1,7.7,8.2,7.9,230,408,301,1.8,7.5,4,0.09,2.56,2,1,650000,300294,165000,2500000,942941
1052,"GANGA AT ULUBERIA, WEST BENGAL",WEST BENGAL,15,30,25.7,3.6,8.8,5.4,7.2,8.1,7.7,249,412,314,0.6,8.4,3.3,0.1,1.44,1,4000,220000,69500,11000,500000,189706
1469,"GANGA AT DIAMOND HARBOUR, WEST BENGAL",WEST BENGAL,18,31.5,26.7,4.7,8.6,6.3,7.4,8,7.8,240,6270,1437,0.6,4.3,2.5,0.25,1.25,1,1,170000,32824,7000,500000,99647
